CBOM;"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)"
ALRS;"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)"
VTBR;Банк ВТБ (публичное акционерное общество)
YNDX;"Компания с ограниченной ответственностью ""Яндекс Н.В."" (Public Limited Liability Company Yandex N.V.)"
AFKS;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ ФИНАНСОВАЯ КОРПОРАЦИЯ ""СИСТЕМА"""
BSPB;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ"""
POLY;Полиметалл Интернэшнл плс (Polymetal International plc)
AKRN;"Публичное акционерное общество ""Акрон"""
AFLT;"Публичное акционерное общество ""Аэрофлот – российские авиалинии"""
GAZP;"Публичное акционерное общество ""Газпром"""
GMKN;"Публичное акционерное общество ""Горно-металлургическая компания ""Норильский никель"""
PIKK;"Публичное акционерное общество ""Группа Компаний ПИК"""
LSRG;"Публичное акционерное общество ""Группа ЛСР"""
DSKY;"Публичное акционерное общество ""Детский мир"""
IRAO;"Публичное акционерное общество ""Интер РАО ЕЭС"""
MVID;"Публичное акционерное общество ""М.видео"""
MGNT;"Публичное акционерное общество ""Магнит"""
MAGN;"Публичное акционерное общество ""Магнитогорский металлургический комбинат"""
MTLR;"Публичное акционерное общество ""Мечел"""
MTLRP;"Публичное акционерное общество ""Мечел"""
MTSS;"Публичное акционерное общество ""Мобильные ТелеСистемы"""
MOEX;"Публичное акционерное общество ""Московская Биржа ММВБ-РТС"""
LKOH;"Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ"""
ROSN;"Публичное акционерное общество ""Нефтяная компания ""Роснефть"""
NLMK;"Публичное акционерное общество ""Новолипецкий металлургический комбинат"""
PLZL;"Публичное акционерное общество ""Полюс"""
RSTI;"Публичное акционерное общество ""Российские сети"""
RSTIP;"Публичное акционерное общество ""Российские сети"""
RTKM;"Публичное акционерное общество ""Ростелеком"""
RTKMP;"Публичное акционерное общество ""Ростелеком"""
SFIN;"Публичное акционерное общество ""САФМАР Финансовые инвестиции"""
SBER;"Публичное акционерное общество ""Сбербанк России"""
SBERP;"Публичное акционерное общество ""Сбербанк России"""
CHMF;"Публичное акционерное общество ""Северсталь"""
TATN;"Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина"
TATNP;"Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина"
TGKA;"Публичное акционерное общество ""Территориальная генерирующая компания №1"""
TRNFP;"Публичное акционерное общество ""Транснефть"""
TRMK;"Публичное акционерное общество ""Трубная Металлургическая Компания"""
HYDR;"Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро"""
FEES;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы"""
PHOR;"Публичное акционерное общество ""ФосАгро"""
ENRU;"Публичное акционерное общество ""Энел Россия"""
UPRO;"Публичное акционерное общество ""Юнипро"""
RNFT;"Публичное акционерное общество Нефтегазовая компания ""РуссНефть"""
MSNG;"Публичное акционерное общество энергетики и электрификации ""Мосэнерго"""
RUAL;Юнайтед Компани РУСАЛ Плс (United Company RUSAL Plc)
NVTK;"публичное акционерное общество ""НОВАТЭК"""
MRKU;"Открытое акционерное общество ""Межрегиональная распределительная сетевая компания Урала"""
AQUA;"Публичное  акционерное общество ""Русская Аквакультура"""
MSRS;"Публичное акционерное  общество ""Московская объединенная электросетевая компания"""
APTK;"Публичное акционерное общество ""Аптечная сеть 36,6"""
AMEZ;"Публичное акционерное общество ""Ашинский металлургический завод"""
OGKB;"Публичное акционерное общество ""Вторая генерирующая компания оптового рынка электроэнергии"""
KMAZ;"Публичное акционерное общество ""КАМАЗ"""
VSMO;"Публичное акционерное общество ""Корпорация ВСМПО-АВИСМА"""
MSTT;"Публичное акционерное общество ""МОСТОТРЕСТ"""
MRKV;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Волги"""
MRKZ;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Северо-Запада"""
MRKS;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Сибири"""
MRKP;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра и Приволжья"""
MRKC;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра"""
OBUV;"Публичное акционерное общество ""ОР"""
RASP;"Публичное акционерное общество ""Распадская"""
SVAV;"Публичное акционерное общество ""СОЛЛЕРС"""
SELG;"Публичное акционерное общество ""Селигдар"""
SELGP;"Публичное акционерное общество ""Селигдар"""
SNGS;"Публичное акционерное общество ""Сургутнефтегаз"""
SNGSP;"Публичное акционерное общество ""Сургутнефтегаз"""
TGKN;"Публичное акционерное общество ""Территориальная генерирующая компания № 14"""
FTRE;"Публичное акционерное общество ""Финансовая группа БУДУЩЕЕ"""
WTCM;"Публичное акционерное общество ""Центр международной торговли"""
WTCMP;"Публичное акционерное общество ""Центр международной торговли"""
TNSE;"Публичное акционерное общество Группа компаний ""ТНС энерго"""
RDRB;"""Российский акционерный коммерческий дорожный банк"" (публичное акционерное общество)"
RAVN;Raven Property Group Limited (Рейвен Проперти Груп Лимитед)
AVAN;"Акционерный Коммерческий банк ""АВАНГАРД"" - публичное акционерное общество"
IRGZ;Иркутское публичное акционерное общество энергетики и электрификации
KZOS;"Казанское публичное акционерное общество ""Органический синтез"""
KZOSP;"Казанское публичное акционерное общество ""Органический синтез"""
LNZL;"Ленское золотодобывающее публичное акционерное общество ""Лензолото"""
LNZLP;"Ленское золотодобывающее публичное акционерное общество ""Лензолото"""
KUNF;"Открытое  акционерное общество ""Каменск-Уральский завод по обработке цветных металлов"""
BLNG;"Открытое акционерное общество ""Белон"""
DZRD;"Открытое акционерное общество ""Донской завод радиодеталей"""
DZRDP;"Открытое акционерное общество ""Донской завод радиодеталей"""
LVHK;"Открытое акционерное общество ""Левенгук"""
LPSB;"Открытое акционерное общество ""Липецкая энергосбытовая компания"""
MSST;"Открытое акционерное общество ""Мультисистема"""
NPOF;"Открытое акционерное общество ""Научно-производственное объединение ""Физика"""
MGNZ;"Открытое акционерное общество ""Соликамский магниевый завод"""
KRKO;"Открытое акционерное общество Таганрогский котлостроительный завод ""Красный котельщик"""
KRKOP;"Открытое акционерное общество Таганрогский котлостроительный завод ""Красный котельщик"""
ARSA;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""АРСАГЕРА"""
NKNC;"Публичное Акционерное Общество ""Нижнекамскнефтехим"""
NKNCP;"Публичное Акционерное Общество ""Нижнекамскнефтехим"""
SIBG;"Публичное Акционерное Общество ""Сибирский гостинец"""
ALNU;"Публичное акционерное общество ""АЛРОСА-Нюрба"""
ACKO;"Публичное акционерное общество ""АСКО-СТРАХОВАНИЕ"""
ABRD;"Публичное акционерное общество ""Абрау – Дюрсо"""
UTAR;"Публичное акционерное общество ""Авиакомпания ""ЮТэйр"""
BANE;"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть"""
BANEP;"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть"""
ASSB;"Публичное акционерное общество ""Астраханская энергосбытовая компания"""
USBN;"Публичное акционерное общество ""БАНК УРАЛСИБ"""
BISV;"Публичное акционерное общество ""Башинформсвязь"""
BISVP;"Публичное акционерное общество ""Башинформсвязь"""
BELU;"Публичное акционерное общество ""Белуга Групп"""
ALBK;"Публичное акционерное общество ""Бест Эффортс Банк"""
BRZL;"Публичное акционерное общество ""Бурятзолото"""
VJGZ;"Публичное акционерное общество ""Варьеганнефтегаз"""
VJGZP;"Публичное акционерное общество ""Варьеганнефтегаз"""
VDSB;"Публичное акционерное общество ""Владимирская энергосбытовая компания"""
VLHZ;"Публичное акционерное общество ""Владимирский химический завод"""
VGSB;"Публичное акционерное общество ""Волгоградэнергосбыт"""
VGSBP;"Публичное акционерное общество ""Волгоградэнергосбыт"""
VSYD;"Публичное акционерное общество ""Выборгский судостроительный завод"""
VSYDP;"Публичное акционерное общество ""Выборгский судостроительный завод"""
GAZA;"Публичное акционерное общество ""ГАЗ"""
GAZAP;"Публичное акционерное общество ""ГАЗ"""
GAZT;"Публичное акционерное общество ""ГАЗ-Тек"""
GAZS;"Публичное акционерное общество ""ГАЗ-сервис"""
GAZC;"Публичное акционерное общество ""ГАЗКОН"""
GTSS;"Публичное акционерное общество ""ГЕОТЕК Сейсморазведка"""
GTRK;"Публичное акционерное общество ""ГЛОБАЛТРАК МЕНЕДЖМЕНТ"""
RTGZ;"Публичное акционерное общество ""Газпром газораспределение Ростов-на-Дону"""
SIBN;"Публичное акционерное общество ""Газпром нефть"""
HALS;"Публичное акционерное общество ""Галс-Девелопмент"""
GRNT;"Публичное акционерное общество ""Городские Инновационные Технологии"""
RLMN;"Публичное акционерное общество ""Группа Компаний  ""Роллман"""
RLMNP;"Публичное акционерное общество ""Группа Компаний  ""Роллман"""
GCHE;"Публичное акционерное общество ""Группа Черкизово"""
DASB;"Публичное акционерное общество ""Дагестанская энергосбытовая компания"""
DVEC;"Публичное акционерное общество ""Дальневосточная энергетическая компания"""
FESH;"Публичное акционерное общество ""Дальневосточное морское пароходство"""
GTLC;"Публичное акционерное общество ""ДжиТиЭл"""
EELT;"Публичное акционерное общество ""Европейская Электротехника"""
ZVEZ;"Публичное акционерное общество ""ЗВЕЗДА"""
ZILL;"Публичное акционерное общество ""Завод имени И.А. Лихачева"""
IDVP;"Публичное акционерное общество ""ИНВЕСТ-ДЕВЕЛОПМЕНТ"""
RUSI;"Публичное акционерное общество ""ИНВЕСТИЦИОННАЯ КОМПАНИЯ ИК РУСС-ИНВЕСТ"""
OPIN;"Публичное акционерное общество ""ИНГРАД"""
IGST;"Публичное акционерное общество ""Ижсталь"""
IGSTP;"Публичное акционерное общество ""Ижсталь"""
ISKJ;"Публичное акционерное общество ""Институт Стволовых Клеток Человека"""
KLSB;"Публичное акционерное общество ""Калужская сбытовая компания"""
TGKD;"Публичное акционерное общество ""Квадра - Генерирующая компания"""
TGKDP;"Публичное акционерное общество ""Квадра - Генерирующая компания"""
KSGR;"Публичное акционерное общество ""Кокс"""
KOGK;"Публичное акционерное общество ""Коршуновский горно-обогатительный комбинат"""
KMTZ;"Публичное акционерное общество ""Косогорский металлургический завод"""
KTSB;"Публичное акционерное общество ""Костромская сбытовая компания"""
KTSBP;"Публичное акционерное общество ""Костромская сбытовая компания"""
KZMS;"Публичное акционерное общество ""Краснокамский завод металлических сеток"""
KRSB;"Публичное акционерное общество ""Красноярскэнергосбыт"""
KRSBP;"Публичное акционерное общество ""Красноярскэнергосбыт"""
KBTK;"Публичное акционерное общество ""Кузбасская Топливная Компания"""
KAZT;"Публичное акционерное общество ""КуйбышевАзот"""
KAZTP;"Публичное акционерное общество ""КуйбышевАзот"""
KGKC;"Публичное акционерное общество ""Курганская генерирующая компания"""
KGKCP;"Публичное акционерное общество ""Курганская генерирующая компания"""
MERF;"Публичное акционерное общество ""МЕРИДИАН"""
;"Публичное акционерное общество ""МЕТКОМБАНК"""
MFON;"Публичное акционерное общество ""МегаФон"""
ODVA;"Публичное акционерное общество ""Медиахолдинг"""
GEMA;"Публичное акционерное общество ""Международный Медицинский Центр Обработки и Криохранения Биоматериалов"""
MRKK;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Северного Кавказа"""
MRKY;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Юга"""
MRSB;"Публичное акционерное общество ""Мордовская энергосбытовая компания"""
MORI;"Публичное акционерное общество ""Морион"""
MGTS;"Публичное акционерное общество ""Московская городская телефонная сеть"""
MGTSP;"Публичное акционерное общество ""Московская городская телефонная сеть"""
KROT;"Публичное акционерное общество ""Московская кондитерская фабрика ""Красный Октябрь"""
KROTP;"Публичное акционерное общество ""Московская кондитерская фабрика ""Красный Октябрь"""
NSVZ;"Публичное акционерное общество ""Наука-Связь"""
IRKT;"Публичное акционерное общество ""Научно-производственная корпорация ""Иркут"""
UWGN;"Публичное акционерное общество ""Научно-производственная корпорация ""Объединенная Вагонная Компания"""
NFAZ;"Публичное акционерное общество ""Нефтекамский автозавод"""
NKSH;"Публичное акционерное общество ""Нижнекамскшина"""
NKHP;"Публичное акционерное общество ""Новороссийский комбинат хлебопродуктов"""
NMTP;"Публичное акционерное общество ""Новороссийский морской торговый порт"""
SATR;"Публичное акционерное общество ""ОДК-Сатурн"""
UNAC;"Публичное акционерное общество ""Объединенная авиастроительная корпорация"""
UCSS;"Публичное акционерное общество ""Объединенные Кредитные Системы"""
PRTK;"Публичное акционерное общество ""ПРОТЕК"""
PAZA;"Публичное акционерное общество ""Павловский автобус"""
PMSB;"Публичное акционерное общество ""Пермская энергосбытовая компания"""
PMSBP;"Публичное акционерное общество ""Пермская энергосбытовая компания"""
PLSM;"Публичное акционерное общество ""Плазмек"""
RBCM;"Публичное акционерное общество ""РБК"""
CHGZ;"Публичное акционерное общество ""РН-Западная Сибирь"""
ROST;"Публичное акционерное общество ""РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ"""
RKKE;"Публичное акционерное общество ""Ракетно-космическая корпорация ""Энергия"" имени С.П. Королёва"""
RUGR;"Публичное акционерное общество ""Русгрэйн Холдинг"""
ROLO;"Публичное акционерное общество ""Русолово"""
