<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
POLY,D,20170620,000000,675.5000000,686.5000000,675.5000000,682.5000000,35803
POLY,D,20170621,000000,680.0000000,684.5000000,674.5000000,678.0000000,27882
POLY,D,20170622,000000,678.0000000,698.0000000,670.5000000,684.5000000,51350
POLY,D,20170623,000000,681.5000000,710.0000000,681.0000000,705.0000000,98955
POLY,D,20170626,000000,706.0000000,709.0000000,678.0000000,685.0000000,43943
POLY,D,20170627,000000,684.0000000,684.0000000,674.0000000,676.0000000,53208
POLY,D,20170628,000000,676.5000000,686.5000000,661.0000000,679.0000000,81810
POLY,D,20170629,000000,681.5000000,688.0000000,661.0000000,666.0000000,102673
POLY,D,20170630,000000,666.5000000,671.0000000,653.5000000,667.0000000,59969
POLY,D,20170703,000000,661.5000000,677.0000000,659.0000000,667.0000000,63796
POLY,D,20170704,000000,665.5000000,673.5000000,660.0000000,667.5000000,60900
POLY,D,20170705,000000,668.0000000,686.0000000,666.0000000,680.0000000,53037
POLY,D,20170706,000000,684.0000000,691.5000000,672.0000000,674.0000000,62546
POLY,D,20170707,000000,674.5000000,678.0000000,663.5000000,668.5000000,58092
POLY,D,20170710,000000,664.0000000,674.0000000,652.0000000,673.5000000,67351
POLY,D,20170711,000000,673.5000000,681.0000000,672.0000000,680.0000000,41601
POLY,D,20170712,000000,682.0000000,684.0000000,672.5000000,673.0000000,36859
POLY,D,20170713,000000,674.0000000,699.0000000,673.5000000,682.5000000,77843
POLY,D,20170714,000000,683.5000000,697.5000000,675.0000000,691.5000000,51731
POLY,D,20170717,000000,695.0000000,707.5000000,691.5000000,703.0000000,113885
POLY,D,20170718,000000,706.0000000,710.5000000,699.0000000,710.0000000,78807
POLY,D,20170719,000000,706.0000000,710.0000000,690.5000000,693.0000000,101097
POLY,D,20170720,000000,691.0000000,699.0000000,680.5000000,695.5000000,86811
POLY,D,20170721,000000,693.0000000,697.0000000,689.5000000,691.5000000,58931
POLY,D,20170724,000000,693.5000000,697.0000000,689.5000000,691.5000000,77904
POLY,D,20170725,000000,694.5000000,714.5000000,688.5000000,708.5000000,196060
POLY,D,20170726,000000,706.5000000,716.5000000,703.5000000,710.0000000,127911
POLY,D,20170727,000000,714.0000000,730.0000000,712.5000000,716.5000000,111843
POLY,D,20170728,000000,716.5000000,716.5000000,699.0000000,708.5000000,94388
POLY,D,20170731,000000,713.0000000,732.0000000,709.0000000,732.0000000,172310
POLY,D,20170801,000000,732.9000000,738.4000000,725.0000000,725.0000000,66763
POLY,D,20170802,000000,725.1000000,736.0000000,725.0000000,729.9000000,68694
POLY,D,20170803,000000,725.4000000,738.7000000,725.4000000,736.8000000,72435
POLY,D,20170804,000000,731.1000000,738.5000000,700.0000000,704.0000000,151174
POLY,D,20170807,000000,707.9000000,710.6000000,694.4000000,708.0000000,163079
POLY,D,20170808,000000,709.7000000,714.4000000,698.5000000,704.2000000,59002
POLY,D,20170809,000000,710.0000000,733.4000000,705.3000000,731.8000000,139641
POLY,D,20170810,000000,734.0000000,742.4000000,726.0000000,734.0000000,88595
